,base_generated,base_prefixes,changed,date,mirror_from,namespace,sha256_hash,version,metrics.Axioms: Breakdown of axiom types.AnnotationAssertion,metrics.Axioms: Breakdown of axiom types.AnnotationPropertyDomain,metrics.Axioms: Breakdown of axiom types.AnnotationPropertyRangeOf,metrics.Axioms: Breakdown of axiom types.AsymmetricObjectProperty,metrics.Axioms: Breakdown of axiom types.ClassAssertion,metrics.Axioms: Breakdown of axiom types.DataPropertyDomain,metrics.Axioms: Breakdown of axiom types.Declaration,metrics.Axioms: Breakdown of axiom types.DifferentIndividuals,metrics.Axioms: Breakdown of axiom types.DisjointClasses,metrics.Axioms: Breakdown of axiom types.DisjointObjectProperties,metrics.Axioms: Breakdown of axiom types.EquivalentClasses,metrics.Axioms: Breakdown of axiom types.InverseObjectProperties,metrics.Axioms: Breakdown of axiom types.IrrefexiveObjectProperty,metrics.Axioms: Breakdown of axiom types.NegativeObjectPropertyAssertion,metrics.Axioms: Breakdown of axiom types.ObjectPropertyAssertion,metrics.Axioms: Breakdown of axiom types.ObjectPropertyDomain,metrics.Axioms: Breakdown of axiom types.ObjectPropertyRange,metrics.Axioms: Breakdown of axiom types.SameIndividual,metrics.Axioms: Breakdown of axiom types.SubAnnotationPropertyOf,metrics.Axioms: Breakdown of axiom types.SubClassOf,metrics.Axioms: Breakdown of axiom types.SubObjectPropertyOf,metrics.Axioms: Breakdown of axiom types.SymmetricObjectProperty,metrics.Axioms: Breakdown of axiom types.TransitiveObjectProperty,metrics.Axioms: Number of axioms,metrics.Entities: % of entities reused,metrics.Entities: Number of annotation properties,metrics.Entities: Number of classes,metrics.Entities: Number of data properties,metrics.Entities: Number of individuals,metrics.Entities: Number of object properties,metrics.Entities: Number of unsatisfiable classes,metrics.Info: Breakdown of OWL class expressions used.Class,metrics.Info: Breakdown of OWL class expressions used.DataHasValue,metrics.Info: Breakdown of OWL class expressions used.ObjectAllValuesFrom,metrics.Info: Breakdown of OWL class expressions used.ObjectComplementOf,metrics.Info: Breakdown of OWL class expressions used.ObjectExactCardinality,metrics.Info: Breakdown of OWL class expressions used.ObjectHasValue,metrics.Info: Breakdown of OWL class expressions used.ObjectIntersectionOf,metrics.Info: Breakdown of OWL class expressions used.ObjectMinCardinality,metrics.Info: Breakdown of OWL class expressions used.ObjectOneOf,metrics.Info: Breakdown of OWL class expressions used.ObjectSomeValuesFrom,metrics.Info: Breakdown of OWL class expressions used.ObjectUnionOf,metrics.Info: Does the ontology fall under OWL 2 DL?,metrics.Info: Experimental OBO score._dashboard,metrics.Info: Experimental OBO score._formula,metrics.Info: Experimental OBO score._impact,metrics.Info: Experimental OBO score._impact_external,metrics.Info: Experimental OBO score._reuse,metrics.Info: Experimental OBO score.oboscore,metrics.Info: How many externally documented uses?,metrics.Info: How many ontologies use it?,metrics.Info: Logical consistency,metrics.Info: Syntax,metrics.Info: Usage of namespaces in axioms.BFO,metrics.Info: Usage of namespaces in axioms.IAO,metrics.Info: Usage of namespaces in axioms.OMO,metrics.Info: Usage of namespaces in axioms.RO,metrics.Info: Usage of namespaces in axioms.UO,metrics.Info: Usage of namespaces in axioms.dc,metrics.Info: Usage of namespaces in axioms.dc11,metrics.Info: Usage of namespaces in axioms.foaf,metrics.Info: Usage of namespaces in axioms.obo,metrics.Info: Usage of namespaces in axioms.oboInOwl,metrics.Info: Usage of namespaces in axioms.owl,metrics.Info: Usage of namespaces in axioms.prefix_unknown,metrics.Info: Usage of namespaces in axioms.prov,metrics.Info: Usage of namespaces in axioms.rdf,metrics.Info: Usage of namespaces in axioms.rdfs,metrics.Info: Usage of namespaces in axioms.xsd,metrics.Info: Which ontologies use it?,results.FP01 Open.comment,results.FP01 Open.status,results.FP02 Common Format.status,results.FP03 URIs.comment,results.FP03 URIs.file,results.FP03 URIs.status,results.FP04 Versioning.comment,results.FP04 Versioning.status,results.FP05 Scope.comment,results.FP05 Scope.status,results.FP06 Textual Definitions.status,results.FP07 Relations.status,results.FP08 Documented.status,results.FP09 Plurality of Users.comment,results.FP09 Plurality of Users.status,results.FP11 Locus of Authority.comment,results.FP11 Locus of Authority.status,results.FP12 Naming Conventions.status,results.FP16 Maintenance.comment,results.FP16 Maintenance.status,results.FP20 Responsiveness.status,results.ROBOT Report.status,summary.comment,summary.status,summary.summary_count.ERROR,summary.summary_count.INFO,summary.summary_count.WARN,metrics.Axioms: Breakdown of axiom types.DataPropertyRange,metrics.Axioms: Breakdown of axiom types.SubDataPropertyOf,results.FP20 Responsiveness.comment,metrics.Axioms: Breakdown of axiom types.FunctionalObjectProperty,metrics.Axioms: Breakdown of axiom types.InverseFunctionalObjectProperty,metrics.Axioms: Breakdown of axiom types.SubPropertyChainOf,metrics.Info: Usage of namespaces in axioms.skos,results.FP02 Common Format.comment,metrics.Axioms: Breakdown of axiom types.DisjointUnion,metrics.Axioms: Breakdown of axiom types.FunctionalDataProperty,metrics.Axioms: Breakdown of axiom types.Rule,metrics.Info: Breakdown of OWL class expressions used.DataAllValuesFrom,metrics.Info: Breakdown of OWL class expressions used.DataExactCardinality,metrics.Info: Breakdown of OWL class expressions used.DataSomeValuesFrom,metrics.Axioms: Breakdown of axiom types.DataPropertyAssertion,metrics.Axioms: Breakdown of axiom types.ReflexiveObjectProperty,metrics.Axioms: Breakdown of axiom types.EquivalentDataProperties,metrics.Axioms: Breakdown of axiom types.EquivalentObjectProperties,metrics.Info: Breakdown of OWL class expressions used.ObjectMaxCardinality,results.FP08 Documented.comment,metrics.Info: Breakdown of OWL class expressions used.DataMinCardinality,metrics.Info: Usage of namespaces in axioms.APOLLO_SV,metrics.Info: Usage of namespaces in axioms.OBI,metrics.Info: Usage of namespaces in axioms.PATO,metrics.Info: Usage of namespaces in axioms.CHEBI,metrics.Info: Usage of namespaces in axioms.schema,metrics.Info: Breakdown of OWL class expressions used.ObjectHasSelf,metrics.Info: Usage of namespaces in axioms.BSPO,metrics.Info: Usage of namespaces in axioms.CARO,metrics.Info: Usage of namespaces in axioms.CL,metrics.Info: Usage of namespaces in axioms.ENVO,metrics.Info: Usage of namespaces in axioms.GO,metrics.Info: Usage of namespaces in axioms.NBO,metrics.Info: Usage of namespaces in axioms.NCBITaxon,metrics.Info: Usage of namespaces in axioms.PCO,metrics.Info: Usage of namespaces in axioms.PR,metrics.Info: Usage of namespaces in axioms.SO,metrics.Info: Usage of namespaces in axioms.UBERON,results.FP06 Textual Definitions.comment,results.ROBOT Report.comment,results.ROBOT Report.file,results.ROBOT Report.results.ERROR,results.ROBOT Report.results.INFO,results.ROBOT Report.results.WARN,metrics.Axioms: Breakdown of axiom types.DatatypeDefinition,metrics.Info: Breakdown of OWL class expressions used.DataMaxCardinality,metrics.Info: Usage of namespaces in axioms.GAZ,failure,metrics.Info: Usage of namespaces in axioms.BCGO,metrics.Info: Usage of namespaces in axioms.BTO,metrics.Info: Usage of namespaces in axioms.CLO,metrics.Info: Usage of namespaces in axioms.ERO,metrics.Info: Usage of namespaces in axioms.PO,metrics.Axioms: Breakdown of axiom types.DisjointDataProperties,metrics.Info: Usage of namespaces in axioms.CHMO,metrics.Info: Usage of namespaces in axioms.GENEPIO,metrics.Info: Usage of namespaces in axioms.HP,metrics.Info: Usage of namespaces in axioms.NCIT,metrics.Info: Usage of namespaces in axioms.OAE,metrics.Info: Usage of namespaces in axioms.OBA,metrics.Info: Usage of namespaces in axioms.OBCS,metrics.Info: Usage of namespaces in axioms.STATO,metrics.Info: Usage of namespaces in axioms.void
0,True,"['AMONTOLOGY', 'AMONTOLOGYALT']",True,2023-04-27 12:01:32.653107,http://openenergy-platform.org/ontology/oeo/releases/oeo.owl,AMONTOLOGY,1f8ca5c0a964b5e7ed2fa64c22d0023c09d15a88adbfcd7a04cc7e564a24b0ba,http://openenergy-platform.org/ontology/oeo/releases/1.14.0/oeo.omn,9238.0,1.0,1.0,1.0,248.0,1.0,1869.0,7.0,47.0,1.0,138.0,17.0,1.0,1.0,320.0,73.0,72.0,7.0,20.0,2395.0,99.0,1.0,2.0,14560.0,100.0,100.0,1430.0,1.0,218.0,118.0,0.0,7180.0,4.0,16.0,18.0,2.0,79.0,187.0,2.0,3.0,1116.0,64.0,True,0.571,(1*impact+1*dashboard)/2,0.0,0.0,1.0,0.285,0.0,0.0,True,RDF/XML Syntax,794.0,4832.0,6.0,530.0,1224.0,5.0,22.0,1.0,26.0,2366.0,25.0,8683.0,278.0,125.0,2006.0,6.0,[],Missing registry license.,ERROR,PASS,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI 'http://openenergy-platform.org/ontology/oeo/releases/1.14.0/oeo.omn' is not in recommended format,WARN,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,PASS,PASS,5 errors,ERROR,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,"['BWMD-DOMAIN', 'BWMD-DOMAINALT']",True,2023-04-27 11:56:46.798690,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/BWMD_domain.owl,BWMD-DOMAIN,f1665b26bb03163d7f01211626356bbc30863f9f42f94494358a7c563bfb6bf9,https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology/-/raw/master/BWMD_domain.owl,2151.0,,,,,2.0,849.0,,20.0,,,1.0,,,,8.0,13.0,,2.0,786.0,26.0,,,3879.0,100.0,29.0,787.0,12.0,0.0,27.0,0.0,2507.0,,,,,,,,,,,True,0.504,(1*impact+1*dashboard)/2,0.0,0.0,1.0,0.252,0.0,0.0,True,RDF/XML Syntax,258.0,426.0,,,,1.0,2.0,2.0,,,12.0,2471.0,,,1788.0,10.0,[],Missing ontology license. Missing registry license.,ERROR,PASS,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI 'https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology/-/raw/master/BWMD_domain.owl' is not in recommended format,WARN,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing tracker and usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,ERROR,PASS,6 errors,ERROR,6.0,1.0,1.0,10.0,11.0,Missing tracker and usages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,"['BWMD-MID', 'BWMD-MIDALT']",True,2023-04-27 11:56:41.923292,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/BWMD_mid.owl,BWMD-MID,a3f53082fd4a6098d827a57b0a4be79e90f3a13c6a258d0ee7f74a36c007ad54,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/BWMD_mid.owl,1234.0,,,,,2.0,425.0,,20.0,,,1.0,,,,8.0,13.0,,2.0,362.0,26.0,,,2114.0,100.0,29.0,363.0,12.0,0.0,27.0,0.0,1235.0,,,,,,,,,,,True,0.504,(1*impact+1*dashboard)/2,0.0,0.0,1.0,0.252,0.0,0.0,True,RDF/XML Syntax,253.0,426.0,,,,1.0,2.0,2.0,,,12.0,1204.0,,,871.0,10.0,[],Missing ontology license. Missing registry license.,ERROR,PASS,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI 'https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/BWMD_mid.owl' is not in recommended format,WARN,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing tracker and usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,ERROR,PASS,6 errors,ERROR,6.0,1.0,1.0,10.0,11.0,Missing tracker and usages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,"['cco', 'CCOALT']",True,2023-04-27 11:56:36.536563,https://raw.githubusercontent.com/CommonCoreOntology/CommonCoreOntologies/master/AllCoreOntology.ttl,CCO,4cb4dc9b5b10495ec18c9ef5033572501921240cc3136f90fed501e3189b3e36,http://www.ontologyrepository.com/CommonCoreOntologies/Mid/2023-04-07/AllCoreOntology,7995.0,,,6.0,360.0,8.0,2097.0,,35.0,5.0,49.0,128.0,9.0,,,133.0,135.0,,14.0,1498.0,192.0,14.0,13.0,12728.0,100.0,64.0,1416.0,12.0,348.0,262.0,0.0,5283.0,,3.0,,,,57.0,,,137.0,8.0,True,0.504,(1*impact+1*dashboard)/2,0.0,0.0,1.0,0.252,0.0,0.0,True,Turtle,644.0,592.0,,197.0,,43.0,5.0,2.0,,18.0,2.0,11767.0,,,2331.0,9.0,[],Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI does not resolve,ERROR,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,PASS,PASS,6 errors,ERROR,6.0,1.0,1.0,9.0,,,9.0,9.0,10.0,25.0,"OWL syntax (Turtle), but should be RDF/XML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,"['CHAMEO', 'CHAMEOALT']",True,2023-04-27 12:01:37.291252,https://raw.githubusercontent.com/emmo-repo/domain-characterisation-methodology/main/chameo.ttl,CHAMEO,24e76fa7da656e3641c37acfd4445b8c90fd9720633c9b9daf21165eb0318a23,http://emmo.info/emmo/domain/chameo/chameo,2128.0,,12.0,18.0,2.0,4.0,887.0,,3.0,10.0,69.0,1.0,24.0,,,76.0,83.0,,20.0,629.0,159.0,12.0,,4231.0,100.0,44.0,704.0,5.0,2.0,142.0,0.0,2656.0,8.0,14.0,4.0,9.0,1.0,16.0,1.0,,81.0,53.0,False,0.549,(1*impact+1*dashboard)/2,0.0,0.0,1.0,0.275,0.0,0.0,True,Turtle,,,,,,12.0,,1.0,,,22.0,4508.0,,18.0,327.0,12.0,[],Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI 'http://emmo.info/emmo/domain/chameo/chameo' is not in recommended format,WARN,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,PASS,PASS,5 errors,ERROR,5.0,1.0,2.0,3.0,1.0,,2.0,3.0,,963.0,"OWL syntax (Turtle), but should be RDF/XML",73.0,3.0,9.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,"['cif-core', 'CIF-COREALT']",True,2023-04-27 11:57:14.340518,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/cif-core.ttl,CIF-core,9f6d2fced7b235e7629d4b23a9de1f36c84e1840558d87a83aa7bc056c9b6088,,282.0,,3.0,1.0,14.0,,177.0,,,,3.0,,1.0,,16.0,,,,83.0,71.0,4.0,,2.0,678.0,100.0,88.0,68.0,2.0,18.0,5.0,0.0,273.0,,5.0,,1.0,,1.0,,,4.0,4.0,True,0.444,(1*impact+1*dashboard)/2,0.0,0.0,1.0,0.222,0.0,0.0,True,Turtle,,,,,,,,,,,5.0,907.0,,5.0,52.0,20.0,[],Missing ontology license. Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Missing version IRI,ERROR,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Missing version IRI to check date,ERROR,PASS,PASS,7 errors,ERROR,7.0,0.0,1.0,,1.0,,,1.0,,,"OWL syntax (Turtle), but should be RDF/XML",5.0,1.0,,1.0,,14.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,"['deb', 'DEBALT']",True,2023-04-27 12:00:17.503587,https://raw.githubusercontent.com/ProjectDebbie/Ontology_DEB/master/DEB_ont.owl,DEB,e03f95bc624b67253f3974898fb88320ca97be0d5510f59b7cee193797e022a1,,296.0,,,,,235.0,729.0,,,,8.0,,,,,22.0,14.0,,,666.0,,,,2135.0,100.0,11.0,601.0,109.0,0.0,12.0,0.0,2147.0,73.0,,,,,,,,,,True,0.467,(1*impact+1*dashboard)/2,0.0,0.0,1.0,0.234,0.0,0.0,True,RDF/XML Syntax,,,,,,64.0,,,,,4.0,2891.0,,,31.0,170.0,[],Missing ontology license. Missing registry license.,ERROR,PASS,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Missing version IRI,ERROR,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Missing version IRI to check date,ERROR,PASS,PASS,7 errors,ERROR,7.0,0.0,0.0,97.0,63.0,,,,,158.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,"['diso', 'DISOALT']",True,2023-04-27 12:00:03.419883,https://raw.githubusercontent.com/Materials-Data-Science-and-Informatics/dislocation-ontology/master/dislocation-ontology.ttl,DISO,0a3d0b1e22c300f864e2d2157b1599e4b5a7655209c679f4f7fbcd8cb59dc49e,,147.0,,,,,5.0,91.0,,6.0,,,1.0,,,,25.0,25.0,,,62.0,6.0,,,373.0,100.0,13.0,38.0,12.0,0.0,33.0,0.0,227.0,,26.0,,3.0,,17.0,,,22.0,8.0,True,0.444,(1*impact+1*dashboard)/2,0.0,0.0,1.0,0.222,0.0,0.0,True,Turtle,,,,,,5.0,,,,,1.0,400.0,,1.0,140.0,16.0,[],Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Missing version IRI,ERROR,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Missing version IRI to check date,ERROR,PASS,PASS,7 errors,ERROR,7.0,0.0,1.0,5.0,,,,,,4.0,"OWL syntax (Turtle), but should be RDF/XML",,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,"['emmo', 'EMMOALT']",True,2023-04-27 11:53:52.563392,https://raw.githubusercontent.com/emmo-repo/EMMO/master/emmo.ttl,EMMO,d4ee0c65ba7cc9bf556a731df3ff81612f0a4bdf95df2a492bded5b375d07519,http://emmo.info/emmo/1.0.0-beta,1743.0,,18.0,16.0,,2.0,539.0,,1.0,,62.0,,16.0,,,22.0,30.0,,22.0,623.0,47.0,7.0,8.0,3191.0,100.0,35.0,463.0,3.0,1.0,46.0,0.0,1919.0,125.0,47.0,5.0,5.0,1.0,6.0,,,106.0,12.0,False,0.549,(1*impact+1*dashboard)/2,0.0,0.0,1.0,0.275,0.0,0.0,True,Turtle,,,,,,6.0,,,,,27.0,3399.0,,105.0,298.0,30.0,[],Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Version IRI 'http://emmo.info/emmo/1.0.0-beta' is not in recommended format,WARN,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Version IRI does not have date information,INFO,PASS,PASS,5 errors,ERROR,5.0,1.0,2.0,1.0,1.0,,4.0,5.0,,572.0,"OWL syntax (Turtle), but should be RDF/XML",24.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,"['emmo_bvc', 'EMMO_BVCALT']",True,2023-04-27 11:57:05.821534,https://raw.githubusercontent.com/ebrahimnorouzi/mseo.github.io/master/Ontology_files/BVCO.ttl,EMMO_BVC,083958d2622aa5d30761f488faeaba5990c644ab70b4006d547c06765f5cf618,,4124.0,,19.0,16.0,2.0,2.0,1473.0,,6.0,,115.0,13.0,24.0,,,60.0,68.0,,23.0,2152.0,139.0,11.0,9.0,8317.0,100.0,36.0,1342.0,3.0,1.0,106.0,0.0,6164.0,130.0,66.0,5.0,8.0,2.0,10.0,1.0,,484.0,60.0,False,0.444,(1*impact+1*dashboard)/2,0.0,0.0,1.0,0.222,0.0,0.0,True,Turtle,,,,,,6.0,,,,,35.0,9395.0,,110.0,707.0,31.0,[],Missing registry license.,ERROR,WARN,0 invalid IRIs. The Ontology IRI is not valid.,fp3,ERROR,Missing version IRI,ERROR,Missing domain (scope),ERROR,PASS,PASS,PASS,Missing usages,ERROR,Missing contact information,ERROR,PASS,Missing version IRI to check date,ERROR,PASS,PASS,7 errors,ERROR,7.0,0.0,1.0,1.0,2.0,,9.0,5.0,,1616.0,"OWL syntax (Turtle), but should be RDF/XML",34.0,2.0,,3.0,3.0,4.0,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
